time,Compression Type,Page Size,Cluster Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-15_14:43:44,lz4,524288,20971520,2,False,7.24,0.55,32.396,-11.219,1097420857,1409.503,498858.4,1416.5,1408.5,1405.6,1416.2,1401.1,1420.8,1412.7,1417.0,1403.1,1393.6,497596.0,496724.0,497184.0,497132.0,496804.0,513916.0,497424.0,497120.0,497256.0,497428.0
23-06-15_14:44:37,lz4,1048576,20971520,1,False,9.45,0.61,35.713,-7.973,1096766788,1444.815,484298.0,1439.9,1437.3,1443.5,1466.6,1407.4,1457.4,1396.4,1468.2,1470.3,1461.1,500608.0,481508.0,481928.0,450676.0,498776.0,469072.0,512596.0,464348.0,484216.0,499252.0
23-06-15_14:45:30,lz4,524288,31457280,1,False,10.58,0.51,31.474,-0.251,1097845581,1399.693,449661.6,1368.0,1409.7,1378.8,1420.3,1407.4,1386.9,1394.5,1408.8,1404.9,1417.7,449792.0,449904.0,450148.0,449904.0,449508.0,449948.0,448896.0,449288.0,449476.0,449752.0
23-06-15_14:46:23,lz4,262144,20971520,1,True,12.88,0.40,31.483,6.743,1099054779,1399.788,418294.0,1421.0,1409.8,1404.5,1392.3,1389.4,1387.7,1393.3,1391.3,1408.9,1399.7,418688.0,418584.0,417932.0,417964.0,418388.0,418020.0,418540.0,417772.0,418972.0,418080.0
23-06-15_14:47:15,lz4,262144,31457280,1,False,8.40,0.41,26.831,-2.038,1098921756,1350.260,457679.2,1363.2,1360.5,1350.5,1367.2,1365.8,1306.8,1342.5,1342.9,1346.9,1356.3,445700.0,446136.0,446204.0,445712.0,445968.0,497464.0,459788.0,497684.0,446064.0,446072.0
23-06-15_14:48:07,lz4,524288,20971520,1,True,13.08,0.55,34.691,4.010,1097420857,1433.937,430548.8,1436.8,1436.0,1426.3,1428.3,1423.7,1426.6,1445.8,1449.2,1427.7,1438.9,428904.0,428912.0,445940.0,428984.0,428924.0,428624.0,429136.0,428864.0,428672.0,428528.0
23-06-15_14:48:59,lz4,524288,31457280,1,False,10.87,0.51,32.380,-0.276,1097845581,1409.333,449776.8,1357.8,1419.8,1408.3,1397.8,1390.0,1416.3,1424.7,1428.2,1426.7,1423.8,449904.0,449132.0,449632.0,449724.0,449688.0,450304.0,450004.0,449792.0,449392.0,450196.0
23-06-15_14:49:53,lz4,524288,20971520,2,False,6.78,0.55,32.127,-12.335,1097420857,1406.645,503861.6,1367.2,1386.1,1410.8,1405.2,1389.2,1398.4,1421.8,1431.3,1436.7,1419.7,496748.0,514200.0,496176.0,497280.0,497236.0,513856.0,514084.0,497480.0,497296.0,514260.0
23-06-15_14:50:45,lz4,524288,31457280,1,False,10.80,0.51,32.227,-0.350,1097845581,1407.704,450106.4,1413.4,1393.7,1399.8,1422.3,1413.6,1406.1,1401.4,1410.1,1402.4,1414.3,450228.0,450120.0,450236.0,449996.0,450176.0,449848.0,449876.0,450204.0,450084.0,450296.0
23-06-15_14:51:38,lz4,524288,31457280,1,False,10.79,0.51,32.136,-0.284,1097845581,1406.737,449812.8,1415.6,1411.9,1406.2,1408.5,1390.1,1421.8,1411.2,1403.3,1401.4,1397.3,450116.0,449812.0,449636.0,450104.0,449528.0,450120.0,450408.0,449508.0,449720.0,449176.0
23-06-15_14:52:31,lz4,1048576,20971520,1,False,10.01,0.61,36.608,-7.199,1096766788,1454.346,480826.0,1468.3,1476.8,1446.8,1448.9,1461.2,1458.0,1452.2,1450.5,1435.1,1445.6,466308.0,450524.0,480712.0,516648.0,466160.0,466276.0,468076.0,481216.0,513956.0,498384.0
23-06-15_14:53:24,lz4,524288,20971520,2,False,7.85,0.55,34.201,-11.215,1097420857,1428.721,498840.8,1430.4,1438.9,1423.1,1431.7,1429.6,1418.8,1428.8,1432.2,1426.8,1426.8,497020.0,497820.0,496436.0,497236.0,497488.0,514548.0,497304.0,497060.0,497156.0,496340.0
23-06-15_14:54:16,lz4,262144,20971520,1,False,12.55,0.40,30.946,6.317,1099054779,1394.064,420204.0,1392.7,1387.1,1384.4,1395.0,1403.6,1392.6,1398.9,1392.8,1400.9,1392.6,418124.0,418808.0,418664.0,418204.0,418780.0,418412.0,418624.0,435680.0,418448.0,418296.0
23-06-15_14:55:09,lz4,524288,20971520,2,False,7.07,0.55,31.907,-11.244,1097420857,1404.302,498971.6,1395.7,1406.6,1422.3,1408.9,1392.7,1387.0,1400.7,1406.4,1403.9,1418.9,496788.0,497080.0,496848.0,497436.0,497484.0,497316.0,514368.0,497652.0,497404.0,497340.0
23-06-15_14:56:02,lz4,524288,31457280,1,False,10.85,0.51,32.337,-0.305,1097845581,1408.879,449906.0,1410.1,1418.1,1424.0,1412.2,1402.1,1408.6,1395.6,1397.0,1413.7,1407.5,449928.0,449632.0,449552.0,450036.0,450104.0,449812.0,449408.0,449928.0,450320.0,450340.0
23-06-15_14:56:55,lz4,524288,31457280,1,False,10.43,0.51,31.065,-0.299,1097845581,1395.337,449876.8,1397.1,1399.1,1392.0,1389.2,1398.8,1387.3,1407.2,1412.6,1376.3,1393.8,449720.0,449844.0,449812.0,450344.0,449800.0,450192.0,449832.0,449644.0,449932.0,449648.0
23-06-15_14:57:49,lz4,1048576,20971520,1,False,9.74,0.61,35.174,-6.562,1096766788,1439.083,477969.6,1450.0,1420.5,1429.7,1444.4,1444.2,1443.6,1446.8,1436.3,1433.7,1441.6,467036.0,498984.0,497152.0,466972.0,483632.0,465644.0,467104.0,497084.0,467984.0,468104.0
