time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-20_05:34:50,zstd,419430400,8388608,2,False,39.66,39.52,101.504,-22.060,1394823743,1155.998,480640.4,1126.4,1136.6,1167.1,1165.5,1167.1,1145.7,1165.0,1147.9,1171.8,1166.9,480100.0,480104.0,480348.0,481016.0,480752.0,480512.0,481128.0,480656.0,480776.0,481012.0
23-06-20_05:36:47,zstd,314572800,8388608,1,True,41.79,39.52,103.988,-18.137,1394823743,1170.251,465195.2,1174.3,1184.0,1176.3,1161.7,1165.4,1152.6,1160.0,1202.7,1160.9,1164.5,465076.0,464432.0,464752.0,465464.0,464924.0,465452.0,465376.0,465856.0,465348.0,465272.0
23-06-20_05:38:43,zstd,314572800,8388608,2,False,40.19,39.52,103.140,-22.078,1394823743,1165.386,480712.0,1185.4,1132.4,1149.9,1163.6,1180.3,1180.9,1160.6,1167.2,1172.1,1161.5,480324.0,480768.0,480192.0,480924.0,480472.0,480852.0,480792.0,480616.0,481332.0,480848.0
23-06-20_05:40:41,zstd,314572800,8388608,2,False,40.08,39.52,102.800,-22.079,1394823743,1163.432,480715.6,1142.0,1158.7,1160.4,1162.6,1161.1,1160.5,1173.0,1172.2,1176.5,1167.2,480108.0,480472.0,480936.0,480652.0,480836.0,480800.0,481020.0,480564.0,481112.0,480656.0
23-06-20_05:42:45,zstd,314572800,16777216,1,False,14.71,-17.67,75.210,-13.418,2713925432,1005.151,446609.6,1002.1,1009.5,996.4,1010.4,1002.9,1005.8,1008.9,1008.5,1006.6,1000.4,446260.0,446340.0,446524.0,446808.0,447344.0,446560.0,446220.0,446436.0,446740.0,446864.0
23-06-20_05:44:50,zstd,314572800,16777216,1,False,15.65,-17.67,78.037,-13.418,2713925432,1021.372,446610.8,1021.5,1019.1,1025.8,1034.7,1015.1,1026.2,1019.6,1019.3,1018.5,1013.9,447052.0,446576.0,446696.0,446792.0,446832.0,446384.0,446408.0,446604.0,446512.0,446252.0
23-06-20_05:46:53,zstd,314572800,4194304,1,False,38.44,32.94,97.127,-14.741,1546622500,1130.887,451821.2,1138.5,1131.8,1127.5,1127.0,1133.4,1127.7,1114.1,1132.4,1135.1,1141.3,451616.0,451988.0,451572.0,451828.0,451776.0,452116.0,452176.0,451612.0,452072.0,451456.0
23-06-20_05:48:50,zstd,314572800,8388608,2,False,39.95,39.52,102.421,-22.103,1394823743,1161.257,480812.8,1168.2,1177.9,1149.7,1167.0,1167.3,1161.5,1148.1,1169.3,1169.6,1133.9,480844.0,480900.0,480792.0,481016.0,480280.0,480800.0,480456.0,480668.0,481404.0,480968.0
23-06-20_05:50:55,zstd,314572800,16777216,1,False,15.91,-17.67,78.850,-13.436,2713925432,1026.035,446681.2,1037.3,1024.6,1026.5,1025.7,1021.7,1023.2,1028.8,1027.6,1025.7,1019.2,446880.0,446752.0,446712.0,446112.0,447072.0,446756.0,446888.0,446432.0,446552.0,446656.0
23-06-20_05:52:57,zstd,314572800,4194304,1,False,39.83,32.94,101.301,-14.756,1546622500,1154.835,451878.8,1165.4,1152.4,1155.5,1152.8,1169.0,1161.5,1140.5,1150.3,1147.0,1153.9,451828.0,451896.0,451632.0,451296.0,452264.0,451860.0,451860.0,451992.0,452404.0,451756.0
